目录,题目类型,大题题干,难易度,,,,,,,
,,天行________，不为尧存，不为桀亡。应之以治则吉，应之以乱则凶。,,有常,,,,,,
,,夫爱人者，__________________；利人者，人必从而利之；恶人者，人必从而恶之；害人者，人必从而害之。,,人必从而爱之,,,,,,
,,_______而屈人之兵，善之善者也。______________，百战不殆。——《孙子兵法·谋攻》98,,不战,,,,,,
,,故审知今，则可知古，知古则可知后，古今前后_____也。——选自《吕氏春秋·长见》,,一,,,,,,
,,张载的横渠四句：为天地立心，______________，为往圣继绝学，为万世开太平。,,为生民立命,,,,,,
,,诸子十家，其可观者九家而已。皆起于王道既微，诸侯力政，时君世主，好恶殊方，是以九家之术蜂出并作，各引一端，崇其所善，以此驰说，取合诸侯。其言虽殊，辟犹水火，相灭亦相生也。仁之与义，敬之与和，相反而皆相成也。《易》曰：“天下_____________，一致而百虑。”——《汉书·艺文志·诸子略》序《大学人文教程》P103,,同归而殊途,,,,,,
,,贝奈戴托·克罗齐BenedettoCroce：一切真历史都是________.《大学人文教程》112,,当代史,,,,,,
,,钱穆：所谓对其本国已往历史略有所知者，尤必附随一种对其本国已往历史之温情与_________。《大学人文教程》P115,,敬意,,,,,,
,,钱穆：中国文化向极注重“______”精神，而人文精神的主要重心则在人的“______”。《大学人文教程》P115,,人文,心,,,,,
,,士之读书治学，盖将以脱心志于俗谛之桎梏，真理因得以发扬。思想而不自由，毋宁死耳。斯古今仁贤所同殉之精义，其岂庸鄙之敢望。先生以一死见其独立自由之意志，非所论于一人之恩怨，一姓之兴亡。呜呼！树兹石于讲舍，系哀思而不忘。表哲人之奇节，诉真宰之茫茫。来世不可知者也，先生之著述，或有时而不章。先生之学说，或有时而可商。惟此独立之精神，_______________，历千万祀，与天壤而同久，共三光而永光。《大学人文教程》P117,,自由之思想,,,,,,
,,梁漱溟：中国文化最大之偏失，在_______永不被发现。、答案：个人,,个人,,,,,,
,,中国传统学术的两大纲:_________之学、___________之学。（钱穆）答案：心性之学、治平之学同学们，大家好，今日正式开课。我们谈中华文化，文化这个概念浩大无方，我们首先借钱穆的话说说纲领。我们希望拎起中华优秀文化的真精神来。课程不仅仅是知识与理论的，希望对大家的生命养成有切实受用。这是一个共同成长，交流的平台。愿大家暑期开心。附件：钱穆纪录片两个，比较长，感兴趣的小伙伴请关注。央视·天涯共此时·钱穆：http://news.cntv.cn/2014/10/08/VIDE1412736120592839.shtml 凤凰视频·我的中国心·钱穆：https://mp.weixin.qq.com/s/EVNTL2MwiQDkL1nm8Hj1Iw,,心性,治平,,,,,
,,“究天人之际，_______________，成一家之言”——司马迁——《大学人文教程》133,,通古今之变,,,,,,
,,仓廪实而_______，衣食足而_________，上服度则六亲固。四维不张，国乃灭亡。下令如流水之原，令顺民心。——《史记·管晏列传》《大学人文语文》134,,知礼节,知荣辱,,,,,
,,_______通西域，是中西交通史上一个十分重要的事件。著名的“丝绸之路”从此打开。但是人们在称颂张骞功绩的时候，是否想到过张骞经历的艰苦呢？他第一次出使时，“行时百余人，去十三岁，唯二人得还。”“凿空”的工作，是需要付出极大代价的。《大学人文语文》p137,,张骞,,,,,,
,,我愿作证，一切行为高贵端正的人，一定能藉此()。——贝多芬《大学人文教程》148,,承受所有不幸,,,,,,
,,古今之成大事业、大学问者，必经过三种之境界。“昨夜西风凋碧树，_____________，望尽天涯路”，此第一境也。“衣带渐宽终不悔，为伊消得人憔悴”，此第二境也。“众里寻他_____________，蓦然回首，那人正在灯火阑珊处”，此第三境也。王国维《人间词话》,,独上高楼,千百度,,,,,
,,诗人对宇宙人生，须入乎其内，又须出乎其外。入乎其内，故能_______；出乎其外，故能_______。入乎其内，故有________；出乎其外，故有________。——王国维《人间词话》,,写之,观之,生气,高致,,,
,,凡操千曲而后晓声，观千剑而后识器。故圆照之象，务先________。刘勰《文心雕龙》——《大学人文教程》P152,,博观,,,,,,
,,在心为____，发言为_____。情动于中而形于言，言之不足，故嗟叹之，嗟叹之不足，故永歌之，永歌之不足，不知手之舞之足之蹈之也。——《毛诗序》《大学人文教程》P153,,志,诗,,,,,
,,_____之音安以乐，其政和；_____之音怨以怒，其政乖；_____之音哀以思，其民困。——《毛诗序》153,,治世,乱世,亡国,,,,
,,盖文章，______________，不朽之盛事。——曹丕《典论·论文》154,,经国之大业,,,,,,
,,唐诗多以__________擅长，宋诗多以_________见胜。——钱钟书,,丰神情韵,筋骨思理,,,,,
,,1.2含蓄________，尽得风流。相视而笑，________。盈盈一水间，_______。157,,不着一字,莫逆于心,脉脉不得语,,,,
,,学我者生，____我者死。——齐白石画到情神飘没处，更无真相有真魂。——郑板桥——《大学人文教程》P160,,似,,,,,,
,,宋祁的“红杏枝头春意闹”，词眼字______张先的“云破月来花弄影”，词眼字______《大学人文语文》p162,,闹,弄,,,,,
,,蒹葭苍苍，白露为霜。所谓伊人，____________。溯洄从之，道阻且长。溯游从之，宛在水中央。 　——《诗经·秦风》《大学人文语文》p165,,在水一方,,,,,,
,,青青子衿，______________。纵我不往，子宁不嗣音？——《诗经·郑风》《大学人文语文》p166,,悠悠我心,,,,,,
,,彼黍离离，彼稷之苗。行迈靡靡，中心摇摇。知我者，谓我心忧；不知我者，__________。悠悠苍天！此何人哉？《大学人文语文》p167,,谓我何求,,,,,,
,,举世皆浊我独清，_______________，是以见放。新沐者必弹冠，________________。——《楚辞·渔父》168,,众人皆醉我独醒,新浴者必振衣,,,,,
,,____________兮，可以濯吾缨；_____________兮，可以濯吾足。《楚辞·渔父》《大学人文教程》P168【译】沧浪之水清又清，可以洗我的帽子。沧浪之水浊又浊，可以洗我的泥巴脚。,,沧浪之水清,沧浪之水浊,,,,,
,,东汉诗歌《上邪》中，主人公连用了五种绝不可能出现的自然现象，这五种自然现象是：山无陵，_________，冬雷震震，夏雨雪，___________。【小注】这首诗选自《汉乐府民歌》。是热恋中的情人对于爱情的誓言。它语言质朴、参差不齐、全无修饰，却有令人惊心动魄的力量。诗中主人公连用了五种绝不可能出现的自然现象，深情奇想，歌唱坚贞热烈的爱，是短章中之神品。全诗：上邪！我欲与君相知，长命无绝衰。山无陵，江水为竭，冬雷震震，夏雨雪，天地合，乃敢与君绝！附件中有哈辉的雅乐新唱《上邪》，请感兴趣的小伙伴欣赏。《上邪》哈辉.mp4,,江水为竭,天地合,,,,,
,,盈盈一水间，______________________。《古诗十九首》,,脉脉不得语,,,,,,
,,对酒当歌，人生几何。譬如_______，去日苦多。山不厌高，海不厌深。周公吐哺，天下归心。170,,朝露,,,,,,
,,陶渊明千古名句：“____________，悠然见南山。”,,采菊东篱下,,,,,,
,,陈子昂与“四杰”等对“______“的追求，使大唐诗歌走向振奋，成为盛唐诗歌的序曲。,,风骨,,,,,,
,,前不见古人，后不见来者。___________，独怆然而涕下《大学人文语文》p-173,,念天地之悠悠,,,,,,
,,"春江潮水连海平,海上明月共潮生。滟滟随波千万里，何处春江无明月。江流宛转绕芳甸，月照花林皆似霰。空里流霜不觉飞，汀上白沙看不见。江天一色无纤尘，______________。江畔何人初见月？江畔何年初照人？人生代代无穷已，江月年年望相似。不知江月待何人，但见长江送流水。——《春江花月夜》《大学人文语文》p174",,皎皎空中孤月轮,,,,,,
,,______________，举杯销愁愁更愁。 ——李白《大学人文教程》176,,抽刀断水水更流,,,,,,
,,______________，隔叶黄鹂空好音。——杜甫《蜀相》《大学人文语文》p176,,映阶碧草自春色,,,,,,
,,在天愿作比翼鸟，_____________________。天长地久有时尽，此恨绵绵无绝期。——白居易《长恨歌》《大学人文语文》179,,在地愿为连理枝,,,,,,
,,锦瑟无端五十弦，一弦一柱思华年。______________，望帝春心托杜鹃。沧海月明珠有泪，蓝田日暖玉生烟。此情可待成追忆，只是当时已惘然。《大学人文语文》p182,,庄生晓梦迷蝴蝶,,,,,,
,,不忍__________，望故乡渺邈，归思难收。《大学人文语文》P185,,登高临远,,,,,,
,,请欣赏视频片段：《苏东坡》_雪泥鸿爪.mp4人生到处知何似？______________。泥上偶然留指爪，鸿飞那复计东西！老僧已死成新塔，坏壁无由见旧题。往日崎岖还记否？路长人困蹇驴嘶！——苏轼《和子由渑池怀旧》答案：应似飞鸿踏雪泥资料库里有一套很精彩的纪录片《苏东坡》，总6集。感兴趣的小伙伴请关注。另有苏轼的超级粉丝，近人中最具苏轼之风的林语堂的《苏东坡传》，这是林语堂最得意的作品。林语堂这样评价苏轼：苏东坡是一个无可救药的乐天派、一个伟大的人道主义者、一个百姓的朋友、一个大文豪、大书法家、创新的画家、造酒试验家、一个工程师、一个憎恨清教徒主义的人、一位瑜伽士、大儒政治家、一个皇帝的秘书、酒仙、厚道的法官、一位在政治上专唱反调的人。一个月夜徘徊者、一个诗人、一个小丑。但是这还不足以道出苏东坡的全部……苏东坡比中国其他的诗人更具有多面性天才的丰富感、变化感和幽默感，智能优异，心灵却像天真的小孩。知道一个人，或不知道一个人，与他是否为同代人，没有关系。主要的倒是对他是否有同情的了解。归根结底，我们只能知道自己真正了解的人，我们只能完全了解我们真正喜欢的人。我认为我完全知道苏东坡，因为我了解他。我了解他，是因为我喜欢他。——林语堂,,应似飞鸿踏雪泥,,,,,,
,,人生如诗亦如梦。生活的态度，既要“入梦”般投入，如鸿雁翱翔九州、大展宏图；又要“睡起”般清明，如鲲鹏垂天，渺观人间沟壑坷坎、荣华晏乐。春有百花秋有月，________________，梦中清醒醒似梦，四季都是好时节。《大学人文语文》187,,夏有凉风冬有雪,,,,,,
,,花自飘零水自流。一种相思，两处闲愁。此情无计可消除，才下眉头，___________。（李清照·《一剪梅》）《大学人文语文》p188,,却上心头,,,,,,
,,《卜算子·咏梅》是陆游的一首托物言志的诗篇。荒郊断桥、寂寞无主、黄昏落日、风雨交加、群芳嫉妒、零落、碾压……层层铺垫、蓄势，写出了梅花的悲苦遭际。“________________”却如扛鼎之力，振起全篇，末句见风骨劲节。《大学人文语文》p189,,只有香如故,,,,,,
,,山一程，________，身向榆关那畔行，夜深千帐灯。风一更，_________，聒碎乡心梦不成，故园无此声。                ——纳兰性德《长相思》 P190,,水一程,雪一更,,,,,
,,爱尔兰现代诗人________。欧美后期象征主义诗人的代表之一，1923年诺贝尔文学奖获得者。获奖的理由是“用鼓舞人心的诗篇，以高度的艺术形式表达了整个民族的精神风貌（inspired poetry，which in a highly artistic form that gives expression to the spirit of a whole nation）”。被诗人艾略特誉为“当代最伟大的诗人”。课本中我们选了他的早期名作《当你老了》193,,叶芝,,,,,,
,,先天下之忧而忧，______________________。不以物喜，_______________。199,,后天下之乐而乐,不以己悲,,,,,
,,_____________是陆王心学之集大成者，生平集立功、立德、立言于一身，成就冠绝有明一代。代表著作为_______。,,王阳明,《传习录》,,,,,
,,王阳明：“你未看此花时，此花与汝心同归于寂。你来看此花时，则此花颜色一时明白起来。便知此花_____________。”202,,不在你的心外,,,,,,
,,史怀泽的《___________》是一部论文集，系统阐述了史怀泽的生命伦理思想。他的伟大在于他把作为人道主义的爱和悲悯，敞开给了我们周围生存着的所有生命。这与中国儒家的“民胞物与”“仁民爱物”，释家的“无缘大慈”、“同体大悲”之心是相通的。,,敬畏生命,,,,,,
,,《我怎样做起小说来》体现了鲁迅的“创作论”，更可贵的是他“_________”、“________”的深厚的热忱，使他的小说蕴藏着巨大的情感力量和深刻的人生内涵与社会内涵。这是民族的，也是世界的。,,启蒙主义,为人生,,,,,
,,原来姹紫嫣红开遍，似这般都付与断井颓垣。__________________，赏心乐事谁家院！朝飞暮卷，云霞翠轩；雨丝风片，烟波画船。锦屏人忒看的这韶光贱！……遍青山啼红了杜鹃，荼蘼外烟丝醉软。闲凝眄，生生燕语明如剪，呖呖莺歌溜的圆。——汤显祖《游园惊梦》P230,,良辰美景奈何天,,,,,,
,,原来姹紫嫣红开遍，似这般都付与断井颓垣。___________________，赏心乐事谁家院！朝飞暮卷，云霞翠轩；雨丝风片，烟波画船。锦屏人忒看的这韶光贱！……遍青山啼红了杜鹃，荼蘼外烟丝醉软。闲凝眄，生生燕语明如剪，呖呖莺歌溜的圆。——汤显祖《游园惊梦》231,,良辰美景奈何天,,,,,,
,,《游园惊梦》：妙龄少女杜丽娘在春光明媚的季节，与丫鬟偷偷来到后花园游玩。她在游园前精心打扮，来到姹紫嫣红的花园，却被花草孤寂的春色所触动，油然而生韶光易逝，容颜空老的嗟怨。她痛惜自己的青春埋没在小庭院中，而引起了她的自我觉醒。“一生儿爱好是________”，这里有对春色的惊叹，有对自由和青春的热爱，有对命运的感伤，有对人间“_______”的颂扬。从这几支曲子里，可以看到封建社会女性内心的痛苦和对自由的向往。曲词含蓄婉转、典雅华丽，将杜丽娘复杂、微妙的情绪变化展现的淋漓尽致。230,,自然,至情,,,,,
,,《哈姆雷特》被认为代表了哲学精神——集中反映了人文主义者的________意识和_______精神。哈姆雷特是文艺复兴时期人文主义精神的典型代表，节选内容是哈姆雷特在复仇前的大段心理独白，表现出他对人生的思考和对生存的意义、人的本质的诘问，这些思考和诘问使他的复仇行动一再延迟，形成独特的哈姆雷特性格。239,,启蒙,反思,,,,,
,,《四气调神大论》强调“春夏养___，秋冬养____”顺应四时阴阳变化而养生的重要性。——《四气调神大论》255,,阳,阴,,,,,
,,孙思邈的《__________》是一篇专论医德的旷世名文。作者以赤诚的济世救人之心，对医家提出了应当志成“大医”的殷切期望，着重论述了欲成大医必须解决的两大问题：一是专就医书而言的“精”，二是专就德行而言的“诚”，即医术要精、德行要诚。,,大医精诚,,,,,,
,,凡大医治病，必当安神定志，无欲无求，先发大慈恻隐之心，誓愿________________。——《大医精诚》261,,普救含灵之苦,,,,,,
,,___________，即更刮目相待。——《资治通鉴》《大学人文教程》p267,,士别三日,,,,,,
,,非澹泊无以明志，______________________。诸葛亮《诫子书》,,非宁静无以致远,,,,,,
,,"青青园中葵,朝露待日晞。阳春布德泽,万物生光辉。常恐秋节至,焜黄华叶衰。百川东到海,_______________?少壮不努力,老大徒伤悲。《汉乐府·长歌行》",,何时复西归,,,,,,
,,古人学问无遗力，少壮工夫老始成。                    纸上得来终觉浅，绝知此事要______。——陆游《冬夜读书示子聿》,,躬行,,,,,,
,,半亩方塘一鉴开，天光云影共徘徊。问渠那得清如许？为有源头______来。——朱熹《观书有感》,,活水,,,,,,
,,《大学人文教程》P270大抵观书先须________，使其言皆若出于吾之口；继以________，使其意皆若出于吾之心，然后可以有得尔。——朱熹,,熟读,精思,,,,,
,,《大学人文教程》P271学不难有才，难有志。不难有志，难有品。不难有品，难有_____。惟具超方眼目，不被时流笼罩者，堪立千古品格。品立则志成，志成才得其所用矣。末世竞逐枝叶，罕达________，谁知朝华易落，松柏难凋。才志之士，奈何甘舍大从小哉？——《蕅益大师全集》:,,眼,本源,,,,,
,,盖士人读书，第一要______，第二要_______，第三要________。——《曾国藩家书》,,有志,有识,有恒,,,,
,,人之气质由于天生，本难改变，惟______则可变化气质。——《曾国藩家书》答案：读书【小注】曾国藩其人典型的体现了中华文化的特点，更可贵的是，他是经邦济世型的人物。“沧海横流，方显英雄本色”，晚清千疮百孔，大厦将倾，他力挽狂澜，位列“晚清中兴四大名臣”之首，文章事功兼备，立功立言立德，也饱受争议。蒋介石、毛泽东都盛赞曾国藩，学习曾国藩。诸位，湖南有一位唐浩明，他潜心研究曾国藩30年，有历史小说《曾国藩》，很可观，资料库里有，感兴趣的小伙伴可读。,,读书,,,,,,
,,读书使人充实，_______使人机智，________使人准确。——培根《论读书》《大学人文教程》P273,,讨论,笔记,,,,,
,,读史使人明智，_____使人灵秀，数学使人周密，______使人深刻，伦理学使人庄重，逻辑修辞之学使人善辩；凡有所学，皆成性格。——培根《论读书》《大学人文教程》P273,,读诗,科学,,,,,
,,《大学人文教程》P274正如火的燃烧需要通风才能开始和延续，同样，我们的思考活动必须由我们对思考对象的_________所激发和维持。——叔本华《论思考》,,兴趣,,,,,,
,,《大学人文教程》P275真正有思想的作品与其他泛泛作品的区别之处，就在于前者具有一种断然和确切的特质与连带由此而来的______、明了。具备一流思想能力的人所带有的特质标记，就是他们所作出的判断都是直截了当、绝不含糊。每一个真正的独立、自为思考的思想家就这一方面而言跟_______相差无几。——叔本华《论思考》,,清晰,王侯,,,,,
,,《大学人文教程》P276不想沦为芸芸众生的人只需做一件事，便是对自己不再懒散；他应听从他的良知的呼唤：“____________！你现在所做、所想、所追求的一切，都不是你自己。”——尼采,,成为你自己,,,,,,
,,《大学人文教程》P277我们奇特的存在正是在这个当下最强烈地激励着我们，要我们按照自己的标准和法则生活。激励我们的是这个不可思议的事实：我们恰恰生活在今天，并且需要无限的时间才得以产生，我们除了稍纵即逝的________之外别无所有，必须就在这个时间内表明我们为何恰恰产生于今天。——尼采,,今天,,,,,,
,,《大学人文教程》p277年轻的心灵在回顾生活时不妨自问：迄今为止你真正____过什么？什么东西曾使得你的_______振奋？什么东西占据过它同时又________予它？——尼采,,爱,灵魂,赐福,,,,
,,《大学人文教程》P278传记作家穆尔则认为，哥本哈根精神是“高度的___________、大胆的___________、深奥的研究内容与快活的___________的混合物”。,,智力活动,涉险精神,乐天主义,,,,
,,《大学人文教程》P279哥本哈根精神的核心，是在玻尔创导下形成的“平等、_______地讨论和相互密切地________的浓厚的学术氛围”。,,自由,合作,,,,,
,,《大学人文教程》P279《四书》之一的《大学》里这样说，一个人教育的出发点是“_______”和“_______”。就是说，从探察物体而得到知识。用这个名词描写现代学术发展是再适当也没有了。现代学术的基础就是实地的探察，就是我们现在所谓的实验。　但是传统的中国教育并不重视真正的格物和致知……——丁肇中《寻找真正的格物致知精神》,,格物,致知,,,,,
,,《大学人文教程》P280在环境激变的今天，我们应该重新体会到几千年前经书里说的格物致知真正的意义。这意义有两个方面：第一，寻求真理的惟一途径是对事物客观的探索；第二，探索的过程不是消极的袖手旁观，而是有想像力的、有计划的探索。希望我们这一代对于格物和致知有新的认识和实用，使得__________真正地变成中国文化的一部分。——丁肇中《寻找真正的格物致知精神》,,实验精神,,,,,,
,,《大学人文教程》P284你以前经常会问到“这个课程有什么用”，这是个好问题，但是我希望你理解：“教育的真谛就是当你忘记一切所学到的东西之后所剩下的东西。”我的意思是，最重要的不是你学到的具体的知识，而是你学习新事物和解决新问题的能力。这才是大学学习的真正意义——这将是你从被动学习转向______学习的阶段，之后你会变成一个很好的自学者。所以，即便你所学的不是生活里所急需的，也要认真看待大学里的每一门功课，就算学习的技能你会忘记，学习的能力是你将受用终身的。——《李开复写给女儿的一封信》,,自主,,,,,,
,,《大学人文教程》P284不要被教条所束缚，任何问题都没有一个唯一的简单的答案。还记得当我帮助你高中的辩论课程时，我总是让你站在你不认可的那一方来辩论吗？我这么做的理由就是希望你能够理解：看待一个问题不应该非黑即白，而是有很多方法和角度。当你意识到这点的时候，你就会成为一个很好的解决问题者。这就是“_______________”——你的一生都会需要的最重要的思考方式，这也意味着你还需要包容和支持不同于你的其他观点。我永远记得我去找我的博士导师提出了一个新论题，他告诉我：“我不同意你，但我支持你。”多年后，我认识到这不仅仅是包容，而是一种批判式思考，更是令人折服的领导风格，现在这也变成了我的一部分。我希望这也能成为你的一部分。,,批判的思维,,,,,,
,,《大学人文教程》P285_____________让我得到的远远超过我失去的。在我做管理的18年里，我学到一件很重要的事——要想得到他人的信任和尊重，只有先去信任和尊重他人。——李开复,,以诚待人,,,,,,
,,稻盛哲学的“____________”思想出自明治维新的杰出代表人物西乡隆盛；西乡隆盛一生推崇阳明心学。阳明心学的核心即是“___________”。p287,,敬天爱人,致良知,,,,,
,,王阳明的代表作是《______________》。P288,,传习录,,,,,,
,,王阳明龙场悟道后，有四句教，影响至今：无善无恶心之体；有善有恶意之动；____________________；为善去恶是格物。P288,,知善知恶是良知,,,,,,
,,稻盛和夫曾充满自信的说：“在通信领域，我没有知识，没有技术，没有经验，一无所有。如果我在这个领域内挥动令旗，取得成功，就能证明_________的威力。”他的唯一武器就是“动机至善，私心了无”。《大学人文教程》P288,,哲学,,,,,,
,,像________那样深思熟虑有________般清廉的心有________的才智有________那样强健的体魄——稻盛和夫P290,,哲学家,武士,小官吏,农夫,,,
,,稻盛和夫认为：经营者心地纯洁，他的事业就稳定。方程式中人生和工作的结果，主要由“______”决定，所以他把“提高心性，扩展经营”当作金科玉律。P291,,心,,,,,,
,,稻盛和夫六项精进1、________________________2、谦虚戒骄3、_______________________4、活着就要感谢5、积善行、思利他6、不要有感性的烦恼——293,,付出不亚于任何人的努力,天天反省,,,,,
,,稻盛哲学：拼命度过_______这一刻——自然界任何微小的生命活动都在无声中告诉我们这个真理。P294,,当下,,,,,,
,,未有知而不行者。知而不行，只是________。——王阳明P295,,未知,,,,,,
,,王阳明：世间有一种人，懵懵懂懂的任意去做，全不解思维省察，也只是个冥行妄作，所以必说个_____，方才行得是；又有一种人，茫茫荡荡悬空去思索，全不肯着实躬行，也只是个揣摸影响，所以必说一个_____，方才知得真。P295,,知,行,,,,,
,,梁启超：天下古今成败之林，若是其莽然不一途也。要其何以成，何以败?曰:__________成，反是者败。P297,,有毅力者,,,,,,
,,梁启超：则小逆之后，必有小顺。大逆之后，必有大顺。___________之既经，而随有应刃而解之一日。P297,,盘根错节,,,,,,
,,梁启超：彼以_____________之力，冒其逆而突过之，而后得从容以进度其顺。P297,,坚苦忍耐,,,,,,
,,梁启超引孔子：譬如为山，未成一篑，止，吾止也；譬如平地，虽复一篑，_______，吾往也。P297,,进,,,,,,
,,梁启超引孟子：有为者，譬若掘井，掘井九仞，而不及泉，犹为__________也。P297,,弃井,,,,,,
,,梁启超：__________最苦，__________最乐。P297,,负责任,尽责任,,,,,
,,梁启超：尽得大的责任，就得大快乐；尽得小的责任，就得小快乐。你若是要_____，倒是自投苦海，永远不能解除了。P299,,躲,,,,,,
,,这个世界是_________的世界。P301,,有心人,,,,,,
,,丰子恺：我的心为四事占据了，天上的神明与星辰，人间的_________与______________。P301,,艺术,儿童,,,,,
,,丰子恺：大事难事，看________，顺境逆境，看_________，是喜是怒，看___________，有舍有得，看__________。P301,,担当,胸襟,涵养,智慧,,,
,,丰子恺：有些动物主要是皮值钱，譬如狐狸；有些动物主要是肉值钱，譬如牛；有些动物主要是骨头值钱，譬如______。P302,,人,,,,,,
,,丘吉尔：我所能奉献的没有其他，只有_______、辛劳、_________与眼泪。P303,,热血,汗水,,,,,
,,乔布斯：求知若饥，_________________。,,虚心若愚,,,,,,
,,乔布斯：我当时没有觉察，但是事后证明，从苹果公司被炒是我这辈子发生的最棒的事情。因为，作为一个成功者的极乐感觉被作为一个创业者的轻松感觉所重新代替：对任何事情都不那么特别看重。这让我觉得如此自由，进入了我生命中最有__________的一个阶段。 307,,创造力,,,,,,
,,乔布斯：我很清楚唯一使我一直走下去的，就是我做的事情令我_____________。307,,无比钟爱,,,,,,
,,乔布斯：你的时间是有限的，所以不要把它浪费在走别人的人生道路上面。不要受教条羁绊，那是在用别人的思考成果活着。不要让他人意见的噪音淹没你内心深处的声音。最重要的是，要有勇气听从_________________的召唤。它们或多或少已经知道你真正想成为一个什么样的人。其他一切都是次要的。P308,,内心和直觉,,,,,,
,,“工匠”意味深远，代表着一个时代的气质，与坚定、踏实、__________相连。310,,精益求精,,,,,,
,,礼之用，______为贵。——《论语》,,和,,,,,,
,,辅车相依，_________________。——《左传》P131,,唇亡齿寒,,,,,,
,,将丝绸之路，不能不提一个人，汉武帝时候的________。人们称他“凿空”西域——意思是本来没有路，路是他开出来的。,,张骞,,,,,,
,,《黄帝内经》：“上医不治已病_________，不治已乱治未乱。”《千金要方》：“医有三品，上医医国，中医医人，下医医病。”答案：治未病,,治未病,,,,,,
,,举世皆浊我独清，_________________________。新沐者必弹冠，________________________。《楚辞·渔父》158,,众人皆醉我独醒,新浴者必振衣,,,,,
,,山不厌高，海不厌深。周公吐哺，___________。曹操《短歌行》,,天下归心,,,,,,
,,木末芙蓉花，山中发红萼。___________，纷纷开且落。——王维《辛夷坞》,,涧户寂无人,,,,,,
,,丞相祠堂何处寻，锦官城外柏森森。映阶碧草自春色，_____________。三顾频烦天下计，两朝开济老臣心。出师未捷身先死，长使英雄泪满襟。——杜甫《蜀相》P177,,隔叶黄鹂空好音,,,,,,
,,昆山玉碎凤凰叫，_____________。——李贺《李凭箜篌引》,,芙蓉泣露香兰笑,,,,,,
,,小李杜是指_____________和______________。,,李商隐,杜牧,,,,,
,,春花秋月何时了？往事知多少！小楼昨夜又东风，故国不堪回首月明中！雕栏玉砌应犹在，只是朱颜改。问君能有几多愁？__________________！——李煜《虞美人》,,恰似一江春水向东流,,,,,,
,,________________，同驾飞鸿跨九州。（黄庭坚）——《睡起》,,松风梦与故人遇,,,,,,
,,______________，爱上层楼。爱上层楼。为赋新词强说愁。而今识尽愁滋味，欲说还休。欲说还休。却道天凉好个秋。辛弃疾《丑奴儿》P190,,少年不识愁滋味,,,,,,
,,不到园林，怎知__________？,,春色如许,,,,,,
,,是以诗人感物，联类不穷。流连万象之际，沉吟视听之区。写气图貌，既_______________，属彩附声，亦_______________。——刘勰《文心雕龙》,,随物以宛转,与心而徘徊,,,,,
,,诗人对宇宙人生，须入乎其内，又须出乎其外。入乎其内，故能写之；出乎其外，故能观之。入乎其内，故有_____；出乎其外，故有_____。——《人间词话》,,生气,高致,,,,,
,,唐诗多以_____________擅长，宋诗多以筋骨思理见胜。P155,,丰神情韵,,,,,,
,,秦观的“可奈春光似水声，______________”杜甫的“一片飞花减却春，风飘万点正愁人”秦观的“飞红万点愁如海”曹雪芹“花开花落飞满天”李煜“流水落花春去也，_____________”。,,迢迢去不停,天上人间,,,,,
,,明清以来，公认的传统八大菜系：鲁、______、粤、闽、苏、浙、湘、徽。,,川,,,,,,
,,人文通识教育从________导读出发。,,经典,,,,,,
,,各美其美，美人之美，美美与共，天下_____________。（费孝通）,,大同,,,,,,
,,阅读以下儒家经典名句：“孝悌也者，其为仁之本与？”（《论语·学而》）——“老吾老，以及人之老，幼吾幼，以及人之幼。”（《孟子·梁惠王上》）——“四海之内皆兄弟也”（《论语·颜渊》）——“亲亲而仁民，仁民而爱物。（《孟子·尽心上》）”中华传统儒家为什么讲究“孝悌”呢？其原理在于儒家的思维方式，是___________、推己及人。这是一种综合的方式，讲求总体效果，注重“和”，而不是个人的绝对自由。现世的伦理构成秩序，基本出发点是人和人之间最自然的亲情系联，推演之，就是社会的和谐，万象欣悦，正如“忎”是古代“仁”字的另一个写法，即千心相合、众志合一，才合与仁，而与天地合德，才是“仁”的最高境界。所以，很好理解，中国社会温情脉脉，注重现世，伦理在中国社会中起到类宗教的作用。孟子言“性善”，又特别强调“推心”、讲“浩然之气”。换言之，他特别讲究“初心”之“善端”，又以“正大气象”将这种美好推向无比广大。答案：由近及远,,由近及远,,,,,,
,,用一个成语概括以下段落________________选自北宋大儒张载的《西铭》——乾称父，坤称母；(以天为父，以地为母。)予兹藐焉，乃混然中处。（我啊，是那样的渺小，与天地混合，处于天地之中。）故天地之塞，吾其体；（所以啊，充塞于天地间的是乾坤阴阳二气，我也以此乾坤阴阳二气为体。）天地之帅，吾其性。（阴阳二气所遵循的天地之乾健坤顺的性质，我也以此成就了自己的本性。）民，吾同胞；物，吾与也。（大地众生皆是如此，所以啊，人民是我的同胞，万物是我的同类）答案：民胞物与【小注】张载（1020－1077年），字子厚，人称横渠先生，北宋大思想家，为后世留下了许多宝贵的精神遗产，其中包括他的横渠四句：“为天地立心，为生民立命，为往圣继绝学，为万世开太平。”以上段落选自《西铭》，《西铭》全篇核心在于提出了“民胞物与”的境界，并在此基础上构建了一个理想社会。张载之所以能提出这样的境界，是认为人与天地万物都同处于天地间，都来源于阴阳二气，都是以阴阳二气为体，同时又以天地的乾健坤顺为万物之性。正是因为这样，才认为人民是自己的兄弟，万物是自己的同类。在这种境界中，君王、大臣各司其职，同时也应对各种人群以及天地万物施以大爱。,,民胞物与,,,,,,
